q,fre,sug,eth
t636,397.97,501.36,694.92
t637,397.97,500.88,691.87
t638,397.97,502.23,688.78
t639,397.97,502.52,671.37
t640,395.32,500.14,626.35
t641,395.32,492.74,627.74
t642,395.32,497.45,681.89
t643,395.32,500.14,651.38
t644,393.51,492.97,601.05
t645,382.64,494.98,567.72
t646,393.51,493.54,569.92
t647,393.51,492.2,574.84
t648,393.51,487.52,570.97
t649,281.9,477.95,574.98
t650,159,472.33,579.03
t651,200.2,469.09,581.89
t652,239.93,466.9,583.56
t653,190.01,459.71,589.55
t654,261.33,454.66,591.74
t655,319.55,444.66,588.59
t656,348.2,439.99,574.16
t657,276.99,437.37,571.78
t658,387.64,431.39,572.11
t659,309.93,433.57,569.55
t660,333.65,431.1,577.39
t661,332.93,428.63,585.6
t662,347.23,425.64,581.81
t663,336.3,419.5,576.81
t664,367.69,419.78,567.93
t665,355.21,423.56,551.91
t666,320.93,433.45,538.97
t667,331.99,440.23,536.01
t668,384.98,449.73,538.12
t669,387.08,457.63,534.22
t670,387.08,461.87,531.91
t671,385.12,470.1,554.77
t672,385.12,474.69,572.28
t673,385.12,484.8,573.26
t674,385.12,486.76,576.77
t675,255.05,486.25,586.93
t676,314.73,483.46,587.72
t677,309.29,484.02,587.77
t678,305.93,481.14,594.13
t679,178.21,477.54,587.36
t680,178.21,468.92,588.32
t681,178.21,465.7,587.82
t682,178.21,468.64,624.38
t683,178.21,467.91,636.35
t684,176.06,453.11,641.28
t685,176.06,454.84,631.09
t686,176.06,453.2,627.96
t687,176.06,452.48,597.05
t688,173.77,451.77,573.75
t689,173.77,458.3,570.08
t690,173.77,458.75,545.3
t691,173.77,457.77,567.31
t692,172.54,459.25,559.13
t693,172.54,458.09,558.2
t694,172.54,454.72,560.91
t695,172.54,459.51,564.24
t696,171.27,453.58,556.13
t697,171.27,450.85,542.86
t698,171.27,454.82,543.65
t699,171.27,450.41,539.2
t700,171.27,441.32,531.88
t701,165.8,441.19,542.15
t702,169.93,436.55,536.33
t703,159.6,419.23,533.57
t704,163.87,417.04,520.01
t705,166.61,413.34,513.77
t706,140.06,418.47,534.37
t707,102.82,421.34,526.68
t708,93.41,413.95,518.46
t709,93.97,411.69,512.68
t710,52.34,404.89,511.77
t711,56.78,407.32,509.69
t712,60.33,407.66,505
t713,61.63,409.92,510.51
t714,120.38,417.73,513.12
t715,107.89,435.07,542.55
t716,87.78,447.41,560.49
t717,96.67,459.75,560.93
t718,90.11,481.09,624.79
t719,95.4,525.68,650.9
t720,90.29,559.15,654.49
t721,91.75,595.52,661.21
t722,94.4,628.73,692.53
t723,112.41,634.81,721.71
t724,91.33,648.79,738.14
t725,82.29,655.66,733.48
t726,90.71,663.54,728.32
t727,64.56,664.53,712.24
t728,58.88,673.01,713.46
t729,48.23,685.6,718.75
t730,61.03,686.27,714.68
t731,21.68,680.89,715.12
t732,19.9,687.19,740.48
t733,15.6,700.12,771.02
t734,12.53,700.04,765.3
t735,12.53,690.76,768.74
t736,12.42,675.97,777.08
t737,12.42,670.14,781.6
t738,12.42,663.4,789.6
t739,12.42,655.93,796.05
t740,13.6,641.59,798.41
t741,22.2,636.11,798.53
t742,12.53,623.92,790.44
t743,12.37,628.26,753.39
t744,17.33,622.99,672.73
t745,17.79,618.43,582.38
t746,19.61,616.81,556.45
t747,21.13,616.56,557.83
t748,20.89,611.12,546.74
t749,35.08,607.52,539.16
t750,32.84,603.97,554.36
t751,30.84,613.16,569.45
t752,30.23,615.99,595.78
t753,24.53,634.98,616.25
t754,24.65,663.83,617.09
t755,24.21,685.54,592.5
t756,23.16,702.5,584.1
t757,29.57,702.86,578.96
t758,33.22,695.5,576.8
t759,34.8,690.78,586.24
t760,32.19,693.9,615.3
t761,31.37,686.63,623.18
t762,47.37,682.03,625.66
t763,47.09,683.94,624.47
t764,46.61,681.39,619.61
t765,38.09,690.55,615.91
t766,60.84,682.12,620.83
t767,62.73,686.81,637.45
t768,61.45,682.75,644.69
t769,59.11,705.19,672.57
t770,63.04,753.31,688.04
t771,85.76,765.56,698.36
t772,86.19,774.29,749.57
t773,77.65,779.13,756.2
t774,66.92,800.71,754.02
t775,71.8,796.42,750.88
t776,73.79,792.54,744.78
t777,67.95,775.11,742.09
t778,61.54,752.78,726.21
t779,56.88,744.84,722.3
t780,40.63,732.6,748.08
t781,48.4,726.21,743.5
t782,56.8,716.89,737.34
t783,44.99,713.81,737.34
t784,55.82,701.59,730.38
t785,40.41,698.21,726.33
t786,50.94,687.27,714.06
t787,51.63,674.45,698.92
t788,39.72,661.81,682.31
t789,44.18,654.98,673.17
t790,47.93,648.4,653.14
t791,52.48,637.74,621.19
t792,72.55,628.56,612.45
t793,73.05,612.84,590.55
t794,94.4,602.36,596.42
t795,86.54,596.81,599.47
t796,93.39,578.74,580.38
t797,168.69,574.5,560.75
t798,141.37,576.29,575.28
t799,138.93,577,584.81
t800,130.21,597.61,584.73
t801,177.91,595.92,568.01
t802,184.55,594.29,552.48
t803,190.06,595.77,539.98
t804,189.29,603.55,544.77
t805,65.11,598,526.44
t806,55.51,582.62,524.92
t807,54.58,573.03,526.79
t808,67.11,544.93,513.52
t809,78.45,504.59,504.08
t810,91.21,492.95,493.8
t811,99.47,486.25,495.52
t812,105.08,461.73,506.8
t813,106.16,454.88,530.63
t814,201.7,446.48,539.45
t815,207.4,426.28,552.15
t816,205.66,414.31,553.75
t817,199.05,408.79,543.88
t818,175.66,405.19,544.29
t819,193.71,403.87,559.92
t820,207.06,408.06,556.82
t821,207.06,408.84,560.12
t822,207.06,409.46,566.21
t823,206.2,410.45,580.1
t824,206.2,413.15,585.32
t825,206.2,425.44,593.62
t826,206.2,441.04,607.26
t827,205.62,452.6,612.03
t828,190.22,490.19,625.82
t829,187,503.83,645.93
t830,174.69,514.69,647.51
t831,80.51,531.84,655.68
t832,84.88,536.06,666.53
t833,82.79,530.54,671.52
t834,106.16,514.66,671.94
t835,94.24,513.51,679.8
t836,75.72,504.84,694.54
t837,68.23,479.6,708
t838,63.25,446.03,709.34
t839,75.57,431.04,703.41
t840,68.54,418.38,701.02
t841,69.93,414.64,698.69
t842,65.95,406.26,706.05
t843,81.51,394.29,711.84
t844,78.03,386.93,716.61
t845,85.9,389.82,715.85
t846,91.03,380.91,724.42
t847,84.5,393.86,709
t848,88.65,406.73,686.26
t849,15.26,411.61,626.96
t850,33.29,416.55,578.05
t851,47.62,424.38,565.28
t852,52.71,417.01,554.26
t853,84.21,420.19,547.59
t854,118.4,405.43,574.69
t855,126.33,407.02,613.52
t856,131.87,412.02,623.89
t857,156.6,420.12,630.48
t858,171.02,429.69,634.14
t859,179.41,433.58,616.39
t860,181.6,435,583.87
t861,188.82,436.57,563.28
t862,188.2,425.3,548.98
t863,188.2,412.26,545.85
t864,188.2,401.15,542.46
t865,188.2,392.66,533.18
t866,188.2,378.28,521.71
t867,188.2,378.43,517.35
t868,188.2,371.05,518.24
